Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,V41690973,V41690914,STATIC_TOTALCPICHANGE,CPI_TRIM,CPI_MEDIAN,CPI_COMMON,ATOM_V41693242,STATIC_CPIXFET,CPIW,Open,High,Low,Close,Adj Close,Volume,Prime Rate,Bank of Canada Overnight Rate
01-09-2008,144,146,146.4,141.4,136.6,140.8,318500,342600,284300,387100,279000,241800,115.7,115.5,3.4,2.5,2.6,3.1,1.7,1.6,2.9,13558.79981,13771.29981,11171.29981,11752.90039,11752.90039,6508455900,4.75,3
01-10-2008,142.2,144.1,144.6,139.5,135.3,139.2,314500,338200,280800,381900,276400,239000,114.5,114.7,2.6,2.5,2.6,3,1.7,1.5,2.6,11730.7002,11775.79981,8537.299805,9762.799805,9762.799805,6990780400,4,2.25
01-11-2008,140.7,142.6,142.7,138.2,134,137.4,311200,334600,277200,378500,273700,236000,114.1,114.3,2,2.7,2.7,3.3,2.4,2.2,2.8,9841.299805,10199.79981,7647.100098,9270.599609,9270.599609,5928069900,4,2.25
01-12-2008,138.9,140.8,141,136.4,131.2,136.1,307300,330500,273800,373600,268000,233700,113.3,113.9,1.2,2.6,2.7,3.2,2.4,2.1,2.6,8816.400391,9270.599609,7802.299805,8987.700195,8987.700195,5650908400,3.5,1.5
01-01-2009,137.4,139.5,139.5,135.1,130.6,133.6,304000,327300,271000,370000,266800,229400,113,113.7,1.1,2.4,2.5,3.1,1.9,1.2,2.3,8951.900391,9505.700195,8387.599609,8694.900391,8694.900391,4769963000,3,1
01-02-2009,136.3,138.1,138.2,133.9,129.6,132.8,301400,324100,268400,366500,264700,228100,113.8,114.1,1.4,2.4,2.5,3.1,1.9,1.4,2.4,8603,9151.599609,7566.299805,8123,8123,4761913900,3,1
01-03-2009,135.4,137.2,136.8,133.2,128.4,132.3,299500,322100,265600,364800,262400,227100,114,114,1.2,2.4,2.5,3.3,2,1.4,2.4,7997.600098,9018.5,7480,8720.400391,8720.400391,5839440200,2.5,0.5
01-04-2009,135.9,137.9,137.5,133.8,128.1,133.1,300700,323600,267000,366400,261800,228500,113.9,113.7,0.4,2,2.2,3.1,1.8,1.3,2,8647.599609,9568.299805,8617.299805,9324.799805,9324.799805,4857191300,2.25,0.25
01-05-2009,137,139.1,138.2,135.1,128.5,134.1,303100,326400,268400,370000,262600,230300,114.7,114.2,0.1,2,2.2,3.2,2,1.3,2.1,9369.200195,10493.09961,9324.799805,10370.09961,10370.09961,4706025200,2.25,0.25
01-06-2009,138.7,140.9,139.6,137,129.3,136,306900,330600,271100,375200,264200,233500,115.1,114.7,-0.3,1.9,2.1,3.1,1.9,1.3,1.8,10530.79981,10726,9727.299805,10374.90039,10374.90039,4799342800,2.25,0.25
01-07-2009,140.7,142.9,141.3,139.2,131.1,137.9,311300,335500,274400,381000,267800,236800,114.7,114.3,-0.9,1.6,1.9,2.8,1.8,1.1,1.5,10290.5,10841.5,9535.5,10787.2002,10787.2002,3774968400,2.25,0.25
01-08-2009,142.8,145,143,141.3,132.6,139.9,315800,340400,277700,387000,270800,240200,114.7,114.5,-0.8,1.5,1.7,2.4,1.6,1,1.4,10943.29981,11065.40039,10480.2002,10868.2002,10868.2002,3542276500,2.25,0.25
01-09-2009,144.9,147.3,144.6,143.8,134.5,142.1,320600,345700,280800,393800,274700,243900,114.7,114.6,-0.9,1.3,1.7,2.4,1.5,0.9,1.2,10840.90039,11648.59961,10634.79981,11395,11395,4535265100,2.25,0.25
01-10-2009,147.1,149.6,146.5,146.1,136.2,144.1,325300,351000,284600,400100,278200,247400,114.6,114.8,0.1,1.4,1.7,2.4,1.8,1.3,1.6,11403.29981,11595,10767.59961,10910.79981,10910.79981,4041880800,2.25,0.25
01-11-2009,149.1,151.6,148.2,148.2,137.9,146.2,329700,355700,287800,405800,281700,251100,115.2,115.4,1,1.4,1.8,2.1,1.5,0.8,1.7,10896.7002,11737.79981,10745.29981,11447.2002,11447.2002,3639444600,2.25,0.25
01-12-2009,150.7,153.3,150,149.9,139.5,147.8,333400,359800,291300,410300,285000,253800,114.8,115.4,1.3,1.3,1.7,1.9,1.5,0.6,1.6,11574.7002,11816.29981,11248.90039,11746.09961,11746.09961,3322506500,2.25,0.25
01-01-2010,151.9,154.4,150.6,151.1,141.4,149.7,336100,362400,292500,413800,288900,257000,115.1,115.8,1.9,1.3,1.7,1.8,2,1.3,1.8,11847.29981,12070.7002,11084.29981,11094.29981,11094.29981,3276439600,2.25,0.25
01-02-2010,153,155.6,151.5,152.4,141.8,150.2,338400,365200,294300,417200,289700,257900,115.6,115.9,1.6,1.3,1.7,1.7,2.1,1.4,1.6,11147.5,11763.29981,10990.40039,11629.59961,11629.59961,3144329300,2.25,0.25
01-03-2010,153.7,156.3,151.9,153.2,142.8,150.9,340000,366800,295000,419500,291700,259100,115.6,115.6,1.4,1.1,1.5,1.5,1.7,0.9,1.4,11682.79981,12129.29981,11629.59961,12037.7002,12037.7002,4110928300,2.25,0.25
01-04-2010,153.9,156.5,152.1,153.4,143.6,150.9,340500,367400,295400,420000,293300,259100,116,115.6,1.8,1.3,1.7,1.3,1.9,1.2,1.6,12069.90039,12321.79981,11954,12210.7002,12210.7002,3925581700,2.25,0.25
01-05-2010,153.8,156.4,151.9,153.4,143.7,151,340300,367100,294900,419900,293500,259200,116.3,115.7,1.4,1.2,1.6,1,1.8,1.1,1.4,12274,12294.59961,11180,11763,11763,4661249300,2.25,0.25
01-06-2010,153.3,155.9,151.3,152.9,143.7,150,339100,365900,293800,418600,293600,257600,116.2,116,1,1.1,1.5,1,1.7,1,1.2,11702.2002,12077,11244,11294.40039,11294.40039,4361343100,2.5,0.5
01-07-2010,152.9,155.6,151,152.6,142.9,149.4,338300,365200,293300,417800,291900,256600,116.8,116.6,1.8,1.3,1.6,1.1,1.6,0.7,1.3,11245.29981,11822.7002,11065.5,11713.40039,11713.40039,3657327900,2.75,0.75
01-08-2010,152.8,155.6,150.6,152.7,142.4,148.7,338000,365100,292400,418100,291000,255400,116.7,116.5,1.7,1.2,1.6,1.2,1.6,0.7,1.3,11829.29981,11990.79981,11469.29981,11913.90039,11913.90039,3919657600,2.75,0.75
01-09-2010,152.9,155.6,150.5,152.8,142.3,149.2,338200,365300,292200,418500,290800,256100,116.9,116.7,1.9,1.3,1.6,0.9,1.5,0.8,1.2,11978.29981,12406.40039,11914.2002,12368.7002,12368.7002,4497303100,3,1
01-10-2010,153.4,156.2,150.8,153.4,142.4,149.9,339300,366500,292800,420000,290900,257300,117.4,117.4,2.4,1.4,1.7,1.1,1.8,1.1,1.5,12400.09961,12710.2002,12262.7002,12676.2002,12676.2002,3947914100,3,1
01-11-2010,154.2,157.1,151.2,154.5,142.7,150.3,341100,368600,293700,423100,291600,258000,117.5,117.7,2,1.2,1.5,1,1.4,0.9,1.1,12725.90039,13114.09961,12501.79981,12952.90039,12952.90039,4668483900,3,1
01-12-2010,154.9,157.8,151.4,155.5,143.5,151,342700,370400,294100,425800,293200,259200,117.5,118.2,2.4,1.4,1.6,1.2,1.5,1,1.4,13067,13493.59961,12952.90039,13443.2002,13443.2002,4102139700,3,1
01-01-2011,156.1,159.1,152.3,157,143.9,152.1,345300,373500,295700,429900,294000,261100,117.8,118.4,2.3,1.3,1.6,1.2,1.4,0.9,1.2,13530.40039,13588.5,13139.5,13552,13552,4636162300,3,1
01-02-2011,157.4,160.5,153.3,158.5,144.6,153,348100,376700,297700,433900,295500,262700,118.1,118.3,2.2,1.1,1.4,1.2,0.9,0.4,1.1,13617.7002,14160.7002,13552.29981,14136.5,14136.5,4403932100,3,1
01-03-2011,158.6,161.9,154.2,160,145.3,153.6,350800,379900,299500,438000,296800,263800,119.4,119.1,3.3,1.6,1.8,1.8,1.7,1.3,1.8,14167,14329.5,13237.90039,14116.09961,14116.09961,5292244500,3,1
01-04-2011,159.7,163.1,154.9,161.4,145.7,154.3,353200,382900,300900,441900,297600,264900,119.8,119.6,3.3,1.6,1.8,1.7,1.6,1,1.7,14118.2002,14315.40039,13584.59961,13944.79981,13944.79981,4024334700,3,1
01-05-2011,160.8,164.6,156,163,146,154.6,355800,386300,302900,446300,298300,265500,120.6,120,3.7,1.8,2,1.9,1.8,1.2,2.1,13944.79981,14089.09961,13264.79981,13802.90039,13802.90039,3871603900,3,1
01-06-2011,162,166,156.8,164.5,146.2,155.6,358400,389500,304500,450500,298700,267200,119.8,119.6,3.1,1.8,2,1.9,1.3,0.7,1.8,13806.09961,13823.40039,12763.5,13300.90039,13300.90039,4487582600,3,1
01-07-2011,163.2,167.2,157.6,166,147.6,156.4,361000,392500,306000,454400,301600,268600,120,119.8,2.7,1.8,1.9,1.9,1.6,1.1,1.9,13315.40039,13516.2002,12858.40039,12945.59961,12945.59961,3528913000,3,1
01-08-2011,164.3,168.4,158.4,167.3,148.7,157,363400,395300,307600,458000,303700,269600,120.3,120.1,3.1,2,2.1,2,1.9,1.4,2.1,13010.59961,13010.59961,11617.79981,12768.7002,12768.7002,5560123300,3,1
